,store_location,store_name,store_address,phone_number
0,경기도,남동탄점,경기도 화성시 동탄대로4길95 (장지동),031-376-4492
1,부산광역시,구서점,"부산광역시 금정구 금강로 563, 1층(구서동)",051-582-9279
2,부산광역시,국제신도시점,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)",051-968-7888
3,강원도,평창점,강원도 평창군 평창읍 백오1길 33,033-333-0009
4,경기도,여주교동점,경기도 여주시 세종로 254-16 (교동),031-881-3799
5,대구광역시,도원점,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호,053-641-0041
6,부산광역시,좌동상록점,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)",051-703-0678
7,부산광역시,구남역점,부산광역시 북구 백양대로 1015번길 15(구포동),051-335-7766
8,경기도,이천점,경기도 이천시 관고동 12-4,031-633-1823
9,부산광역시,부곡점,부산광역시 금정구 동현로 23(부곡동),051-581-7890
10,경상남도,석산점,경상남도 양산시 동면 금오7길 24,055-363-9911
11,부산광역시,문현1동점,"부산광역시 남구 고동골로 66, 1층(문현동)",051-624-9875
12,부산광역시,양정1호점,부산광역시 부산진구 양지로 5번길 20(양정동),051-867-9955
13,경기도,통진점,경기도 김포시 통진읍 서암로6번길 5-21,031-996-8295
14,경상남도,상동점,경남 거제시 거제중앙로3길 14-2(상동동),055-635-9290
15,부산광역시,반송2호점,"부산광역시 해운대구 아랫반송로 51, 1층(반송동)",051-545-9266
16,경기도,소사벌점,경기도 평택시 비전동 1053,031-656-8292
17,경기도,동탄중앙점,경기도 화성시 동탄산척로 2나길 6-7 (산척동),031-375-8292
18,경상북도,항구영일대점,경상북도 포항시 북구 아호로 3,054-253-9996
19,대구광역시,반야월점,대구광역시 동구 안심로41길 47,053-964-0797
20,대구광역시,테크노폴리스점,대구광역시 달성군 유가읍 테크노중앙대로 326-35,053-611-6265
21,경기도,비전점,경기도 평택시 중앙로235 (비전동),031-658-9989
22,경기도,능곡점,경기도 시흥시 능곡중앙로77,031-404-0123
23,경기도,비산점,경기도 안양시 동안구 평촌대로408 (비산동),031-387-1112
24,경기도,부곡점,경기도 의왕시 삼동 150-16,031-462-9233
25,충청남도,홍성점,충남 홍성군 홍성읍 충절로1053번길 41,041-633-9995
26,충청북도,율량사천점,충북 청주시 청원구 율량로190번길19,043-903-0991
27,충청북도,증평점,충북 증평군 증평읍 문화로83,043-838-8977
28,대전광역시,송강테크로점,대전시 유성구 구즉로48번길10,042-935-9294
29,부산광역시,몰운대롯데캐슬점,"부산광역시 사하구 다대낙조2길 100, 101호(다대동,롯데캐슬몰운대아파트부상가)",051-262-9252
30,대구광역시,옥포돌미점,대구시 달성군 옥포면 돌미상업로2길 26,053-615-9986
31,경상북도,영양점,경상북도 영양군 영양읍 중앙로 111,054-682-1950
32,경상북도,대도점,경상북도 포항시 남구 대도동 163-1,054-277-8892
33,경상남도,대합공단점,경남 창녕군 대합면 대합산업단지로 119-15,055-533-0677
34,경기도,배곧점,경기도 시훙시 배곧4로32-27,031-432-9998
35,경기도,광주점,경기도 광주시 송정동111-1,031-477-9282
36,경기도,신하점,경기도 이천시 부발읍 신하리 432-15,031-636-8726
37,경기도,관양점,경기도 안양시 동안구 관양동 1429-12,031-422-5057
38,경기도,중동점,경기도 부천시 원미구 부흥로 272번길 22,031-321-7636
39,경기도,조암점,경기도 화성시 장안면 기아자동차로 789 103호,031-358-3392
40,경기도,정왕점,경기도 시흥시 정왕동 1193-14,031-319-5192
41,경기도,일죽점,경기도 안성시 일죽면 송천리 18,031-672-9385
42,경기도,인계점,경기도 수원시 팔달구 인계동 1008-9,031-232-7234
43,경기도,이천사동점,경기도 이천시 대월면 사동리 182-2,031-638-9013
44,경기도,은행점,"경기도 시흥시 시흥대로 1074번길 28,106호(은행동, 녹원아파트 상가동)",031-312-9999
45,경기도,월곶점,경기도 시흥시 월곶동 995,031-318-9292
46,경기도,원곡점,경기도 안성시 원곡면 만세로 1058,031-654-9220
47,경기도,우만점,경기도 수원시 팔달 우만동 481-29,031-256-0903
48,경기도,호법점,경기도 이천시 호법면 후안리 267-4,031-632-9949
49,경기도,하안8점,경기도 광명시 하안동 260-2 8단지상가 104-2,02-802-4070
50,경기도,하안12점,경기도 광명시 하안동 62-4  1층 3호,02-806-5772
51,경기도,하안11점,경기도 광명시 하안동 305  10 단지상가  104,02-803-2993
52,경기도,포일내손점,경기도 의왕시 내손동652-15,031-425-1145
53,경기도,포도원,경기도 안양시 동안구 호계3동 811 현대홈타운상가 107,031-452-0827
54,경기도,평촌5점,경기도 안양시 동안구 평촌동 898-2 초원아파트상가110,031-387-2134
55,경기도,태전점,경기도 광주시 태전동 688-1,031-762-9525
56,경기도,철산점,경기도 광명시 철산동 240  주공13단지 상가동,02-2682-3230
57,경기도,철산2점,"경기도 광명시 연서로2번길 11, 1층 1호(철산동)",02-2615-1805
58,경기도,천리점,경기도 용인시 이동면 천리 56-6,031-333-5784
59,경기도,중앙대,경기도 안성시 대덕면 내리 682-3,031-675-7750
60,경기도,안양중앙점,경기도 안양시 만안구 안양동 711-815,031-444-5592
61,경기도,안양2점,경기도 안양시 만안구 안양동 873-162,031-447-9292
62,경기도,안성점,경기도 안성시 도기 4길 9(도기동),031-671-9282
63,경기도,신흥산성점,경기도 성남시 수정구 수정남로 305번길11.103호,031-733-8382
64,경기도,신천리점,경기도 시흥시 호현로49번안길 1(대야동),031-312-9709
65,경기도,신갈점,경기도 용인시 기흥구 신구로 38 청솔학원,031-274-5060
66,경기도,송내우성,경기도 부천시 소사구 송내동 336-15,032-662-7259
67,경기도,소사점,"경기도 부천시 소사구 소사로202번길 27, 1층(소사본동)",032-325-8787
68,경기도,성포점,경기도 안산시 상록구 성포동 592-2,031-487-8900
69,경기도,석수엘지점,경기도 안양시 만안구 석수동 415-2 엘지빌리지 상가,031-474-5592
70,경기도,샘마을점,경기도 안양시 동안구 호계동 1116 샘마을상가 1층,031-453-9992
71,경기도,삼보점,경기도 시흥시 대야동 275 삼보상가 1층 1호,031-314-6871
72,경기도,산본점,경기도 군본시 산본동 1069-3 (1층),031-393-9282
73,경기도,산본3점,경기도 군포시 오금동 876 율곡아파트 중심상가 101,031-396-2827
74,경기도,북리점,경기도 용인시 처인구 남사면 북리 680-13,031-332-0204
75,경기도,북내점,경기도 여주시 북내면 여양2로 274,031-883-5320
76,경기도,케이준 부곡점,경기도 안산시 상록구 성호로340,031-406-9979
77,경기도,보정점,"경기도 용인시 기흥구 죽현로 8-20 130(보정동,아이원프라자)",031-272-9259
78,경기도,범계점,경기도 안양 동안 비산 1102 관악타운 상가122,031-381-8238
79,경기도,백암점,경기도 용인시 처인구 백암면 백암리 391번지,031-321-9282
80,경기도,백사점,경기도 이천시 백사면 현방리 67-12,031-632-0746
81,경기도,박달점,경기도 안양시 만안구 박달동 149-1,031-468-3392
82,경기도,미양점,경기도 안성시 미양면 보체리 405 상가 501동 101호,031-675-9258
83,경기도,모현점,경기도 용인시 처인구 모현면 일산리671,031-333-9952
84,경기도,모가점,경기도 이천시 모가면 진가리 83-19,031-632-3688
85,경기도,만선점,경기도 광주시 곤지암읍 만선로 45,031-798-5525
86,경기도,둔전점,경기도 용인시 처인구 포곡읍 포곡로 118번길 24-11,050-4308-9791
87,경기도,대림동산점,"경기도 안성시 공도읍 가족공원길 26, 나동 1층",031-691-9282
88,경기도,능평점,경기도 광주시 오포읍 수레실길 5,031-726-9253
89,경기도,금정점,경기도 군포시 금정동 79-1 1층,031-458-3888
90,경기도,군포점,경기도 군포시 당동 914-5번지,031-392-9295
91,경기도,구성점,"경기도 용인시 기흥구 구성로 186(언남동, 신일푸른솔아파트단지내 1층",031-274-9282
92,경기도,광명2점,경기도 광명시 광명동 158-240 1층,02-2614-1605
93,경기도,공도점,경기도 안성시 공도읍 고무다리길 3,031-658-9280
94,경기도,거모점,경기도 시흥시 군자로504번안길 12(거모동),031-508-3398
95,경기도,갈산점,경기도 이천시 갈산로 87번길 4(갈산동),031-635-3792
96,경기도,가남점,경기도 여주시 가납읍 태평중앙1길 8-10,031-884-7718
97,세종특별자치시,한솔새롬점,세종시 누리로28,044-862-9283
98,부산광역시,금정산SK점,"부산광역시 금정구 식물원로 82, 302동 201호(장전동, 금정에스케이뷰)",051-514-0123
99,경기도,평촌2점,경기도 안양시 동안구 평촌대로127번길 38,031-385-9288
100,경기도,목감점,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지,031-414-0056
101,경기도,시화계룡점,"경기도 시흥시 중심상가로 127, 상가동 108호(정왕동)",031-496-9244
102,경기도,시화3점,"경기도 시흥시 정왕대로28번길 31 , 110(정왕동)",031-433-1457
103,경기도,시화2점,"경기도 시흥시 옥구천서로373번길 43, 104호(정왕동, 주공1단지분산상가)",031-433-8292
104,경기도,시화1점,"경기도 시흥시 정왕신길로139번길 5, 상가동 103호(정왕동, 삼성아파트)",031-497-5245
105,부산광역시,연지점,"부산광역시 부산진구 새싹로 184, 1층 101호(연지동, 연지메디컬센터)",051-819-8292
106,부산광역시,신라대점,"부산광역시 사상구 백양대로 703, A동(덕포동)",051-304-9282
107,부산광역시,연제점,부산광역시 연제구 거제천로 183(거제동),051-867-5443
108,부산광역시,정관롯데캐슬점,"부산광역시 기장군 정관읍 정관3로 52, 상가동 101호(롯데캐슬)",051-728-5595
109,경기도,호계2점,경기도 안양시 동안구 호계동 912-2,031-457-1288
110,경기도,향남2점,경기도 화성시 향남읍 신광길 19. 102호,031-352-5464
111,경기도,위례점,경기도 성남시 수정구 위례순환로 4길 34(창곡동),031-756-9952~3
112,서울특별시,신림역점,"서울특별시 관악구 신림동길 40, 101(신림동)",02-871-8588
113,경기도,동삭점,"경기도 평택시 동삭로 397 상가동 104,105호",031-652-5092
114,서울특별시,길동점,서울시 강동구 길동 99-1,02-477-9282
115,경기도,괴안점,경기도 부천시 소사 괴안동 89-1,032-347-5661
116,경기도,곤지암점,경기 광주시 곤지암읍 곤지암리 435-91,031-762-8125
117,경기도,고강점,"경기도 부천시 오정구 원종로 122, 101호(고강동, 가람5차)",032-675-4578
118,전라북도,덕진하가점,전북 전주시 덕진구 가리내5길 16 103호(덕진동2가),050-4308-7522
119,경상남도,삼안점,경상남도 김해시 삼안로 131번길 8-4(삼방동),055-337-7439
120,경상남도,북정점,경상남도 양산시 북정로 101(북정동),055-383-9255
121,울산광역시,산하1호점,"울산광역시 북구 화암6길 14, 1층 101호(산하동)",052-282-3569
122,경상남도,부곡월산점,"경상남도 김해시 월산로 111-67,1 1층 105호(부곡동, 신화프라자)",055-335-2288
123,부산광역시,괘법한신점,"부산광역시 사상구 광장로 37번길 82, 1층(괘법동,대동래미안)",051-316-9292
124,경상남도,아주점,"경남 거제시 아주1로1길 7-2,1층(아주동)",055-682-7575
125,경상남도,오동동점,경남 창원시 마산합포구 오동동10길 15(오동동),055-246-8086
126,충청남도,예산점,충남 예산군 예산읍 역전로 160번길 16. 1층 107,041-333-9520
127,충청북도,대소점,충북 음성군 대소면 오태로 75-1,043-882-5592
128,대구광역시,옥포돌미점,경상남도 창녕군 대합면 대합산업단지로 119-15,053-615-9986
129,경상북도,대도점,경상북도 포항시 남구 상대로 142,054-277-8892
130,충청북도,진천장관점,충북 진천군 진천읍 장관2길 139-1,043-533-1355
131,대전광역시,삼성2점,대전 동구 현암로 36,042-621-1504
132,충청북도,삼성점,충북 음성군 삼성면 덕정로62번길 2,043-877-3377
133,충청북도,무극점,충북 음성군 금왕읍 무극로 234,043-878-5284
134,경상북도,경산남산점,경북 경산시 남산면 산양길 9,053-851-5999
135,대전광역시,계백점,대전시 중구 문화로90,042-582-5994
136,충청남도,원성점,충남 천안시 동남구 버들로127,041-567-9979
137,서울특별시,가양점,서울 강서 가양 1475 강변아파트상가 203,02-2668-9306
138,서울특별시,등촌점,서울특별시 강서구 등촌동 704  주공9단지아파트상가동102호,02-3662-3988
139,서울특별시,방화점,"서울특별시 강서구 방화대로33길 17 (방화동,1층)",02-2064-7670
140,서울특별시,신길점,서울시 영등포 신길 95-62,02-847-8850
141,서울특별시,신풍역점,"서울특별시 영등포구 신길로 108(신길동,남서울 아파트상가.신길동3591)",02-842-7979
142,서울특별시,신대방,서울시 동작구 대방동 409-10,02-812-0085
143,서울특별시,암사점,서울 강동구 암사동 425-197번지,02-427-9255
144,서울특별시,성내점,서울 강동구 성내동 426-24번지,02-486-9244
145,서울특별시,풍납점,서울 송파구 풍납동 392번지,02-473-9927
146,서울특별시,송파점,서울 송파구 송파동 135-18 102호,02-419-4734
147,서울특별시,가락점,서울 송파구 가락동 82-6번지,02-407-5050
148,서울특별시,문정점,서울 송파구 문정동 29,02-403-9761
149,서울특별시,오금점,서울 송파구 오금동 151-6번지,02-431-6678
150,서울특별시,일원점,서울시 강남 일원 682-7 1층,02-3411-0166
151,서울특별시,삼전점,서울시 송파 삼전 167-17,02-419-5544
152,서울특별시,신천점,서울시 송파 잠실 185-9,02-423-5183
153,서울특별시,압구정점,서울 강남구 신사동 653-15번지 2층,02-545-1027
154,서울특별시,잠원점,서울 서초구 잠원동 53번지 현대상사 1층 6호,02-592-2244
155,서울특별시,방배점,서울 서초구 방배동 868-28번지,02-594-6866
156,서울특별시,양재점,서울 서초구 양재동 6-37번지,02-576-9204
157,서울특별시,대치점,서울 강남구 대치동 922-14번지,02-562-9282
158,서울특별시,서초점,서울 서초구 서초동 1342번지,02-522-9272
159,서울특별시,역삼점,서울 강남구 역삼동 782-28번지,02-553-7749
160,서울특별시,논현점,서울 강남구 논현동 192-1번지,02-517-4178
161,서울특별시,여의도점,서울시 영등포구 여의도동50 시범상가 ,02-782-0520
162,서울특별시,대방점,서울 동작구 대방동 68-35번지,02-817-7979
163,서울특별시,장승배기점,서울 동작 상도 373-72번지,02-816-7007
164,서울특별시,봉천점,서울 관악구 봉천동 885-1번지,02-877-1122
165,서울특별시,행운점,서울 관악구 행운동 66-117번지,031-882-5257
166,서울특별시,우장산점,서울특별시 강서구 강서로 46길 51(내발산동),02-2659-9279
167,서울특별시,화곡역점,서울특별시 강서구 화곡동 1062-20 2층,02-2699-3392
168,서울특별시,신정1점,"서울특별시 양천구 은행정로 5길 28,1층 102호(신정동)",02-2651-9282
169,서울특별시,신도림점,서울시 구로구 신도림동 396 - 140,02-2632-6612
170,서울특별시,신정7점,서울특별시 양천구 신정동 203-1,02-2648-5191
171,서울특별시,당산점,서울 영등포구 당산동1가 378번지,02-2678-9282
172,서울특별시,대림점,서울시 영등포구 대림동 1027-16,02-834-3042
173,서울특별시,구로가산점,서울 구로구 구로동 792-22번지,02-853-0808
174,서울특별시,독산점,서울시 금천구 독산 179-12,02-853-7714
175,서울특별시,시흥점,서울시 금천구 시흥동 887-24,02-807-6618
176,서울특별시,원종점,경기도 부천시 원종동 382-7,032-675-4578
177,서울특별시,목동점,"서울특별시 양천구 목동중앙서로 40 (목동,1층)",02-2061-9292
178,서울특별시,목1점,서울특별시 양천구 목동 513-27,02-2649-6652
179,서울특별시,사당점,동작구 사당동 312-9번지,02-588-9293
180,서울특별시,상도점,서울 동작구 상도1동 360-1번지,02-3280-7088
181,서울특별시,동방점,서울시 관악 신림 246-23,02-871-6111
182,서울특별시,신림점,서울시 관악구 신림동 96-87,02-872-6904
183,서울특별시,개봉점,"서울특별시 구로구 고척로27길 58, 1층(개봉동)",02-2060-9253
184,서울특별시,신정점,"서울특별시 양천구 신정로11길 62, 1층(신정동, 유광빌딩)",02-2616-4331
185,서울특별시,화곡1점,"서울특별시 강서구 가로공원로 233  101(화곡동,뉴파인아파트상가1층)",02-2061-9284
186,서울특별시,개봉2점,서울특별시 구로구 개봉동 357-22,02-2689-0900
187,서울특별시,한마을점,서울특별시 구로구 경인로 377-1 (고척동),02-2618-8815
188,서울특별시,오류점,서울특별시 구로구 오류동 27-37,02-2619-7858
189,인천광역시,가좌점,인천시 서구 가좌동 142-45,032-582-0099
190,인천광역시,신현점,인천시 서구 신현동 279-5,032-578-7730
191,인천광역시,청라점,인천 서구 연희동 763-19,032-566-9599
192,인천광역시,하늘도시점,"인천광역시 중구 은하수로 351, 2동 103호 (중산동, 우미린1차상가)",032-746-8990
193,인천광역시,연희점,인천 서구 승학로 313-1,032-561-0702
194,인천광역시,온수점,인천 강화군 강화읍 길상면 온수리 538-10,032-937-9392
195,인천광역시,남산점,강화군 강화읍 충렬사로 57,032-933-2201
196,인천광역시,검단점,인천 서구 검단로 487번길 5,032-569-2848
197,인천광역시,마전점,인천 서구 완정로 34번길 47,032-566-8295
198,인천광역시,만수2점,"인천 남동구 백범로 206번길 13(만수동 ,1층)",032-461-7735
199,인천광역시,만수1점,인천 남동구 만수동 932-3,032-464-5300
200,인천광역시,만수3점,인천광역시 남동구 만수6동 1026-1,032-467-1717
201,인천광역시,주안4점,인천시 남구 주안4동 414-32,032-433-2490
202,인천광역시,주안점,인천 남구 주안8동 1528-14,032-431-2877
203,인천광역시,구월3점,인천시 남동구 구월동 1359-20,032-766-9981
204,인천광역시,연안점,인천 중구 항동7가 58-4 라이프상가 1-107,032-886-7851
205,인천광역시,용현점,인천광역시 남구 용현동 342-2,032-885-4229
206,인천광역시,송림3점,인천시 동구 송림동 60-31,032-764-7999
207,인천광역시,송림점,인천 동구 송림2동 55-1,032-773-3297
208,인천광역시,송도점,인천시 연수구 컨밴시아대로 42번길 12,032-834-6272
209,인천광역시,동춘점,인천광역시 연수구 연수동 610-2,031-811-6062
210,인천광역시,인천논현점,인천광역시 남동구 논고개로 86,032-435-5599
211,인천광역시,병방점,인천시 계양구 병방동 92-26,032-544-5592
212,인천광역시,계양점,인천시 계양구 용종동 214-1 ,032-553-3927
213,인천광역시,계산점,인천시 계양구 계산동 932-11,032-552-1052
214,인천광역시,효성점,인천시 계양구 효성동 192-1 (104호),032-553-9595
215,인천광역시,산곡점,인천시 부평구 산곡동 317-116,032-524-8787
216,인천광역시,간석점,인천 남동구 간석동 113-1번지 102호,032-442-1406
217,인천광역시,구월점,인천 남동구 구월동 1248-44,032-466-6222
218,인천광역시,영흥점,인천시 웅진 영흥 내 6리 1691,032-888-2260
219,인천광역시,진두점,인천시 옹진군 영흥면 내리 8-200,032-888-5534
220,인천광역시,부개점,인천시 부평구 부개동 140-22,032-361-9951
221,인천광역시,삼산점,인천시 부평구 삼산동440-1삼산타운 1단지 B상가103호,032-330-8600
222,인천광역시,부평점,인천시 부평구 부평동 904-16,032-361-2555
223,인천광역시,주안2점,인천광역시 남구 주안2동 550-23,032-872-5028
224,인천광역시,동수역점,인천시 부평구 경인로 887,032-519-0555
225,인천광역시,학익점,인천시 남구 학익동665-3,032-874-2271
226,인천광역시,연수점,인천 연수구 연수동 497-7,032-818-2616
227,인천광역시,옥련청학점,인천 연수구 옥련동 367-7,031-831-8292
228,서울특별시,육사점,서울시 노원구 공릉동 공릉사서함 77-5,02-2197-5941
229,서울특별시,수유화계점,서울시 강북구 노해로17길 51,02-992-8881
230,서울특별시,창5점(쌍용),"서울 도봉구 마들로 551, 101동",02-2197-5941
231,서울특별시,미아삼거리점,서울 강북구 월계로 3길 68 2층,02-980-0401
232,서울특별시,광희점,"서울특별시 중구 마른내로 163,1층(광희동1가)",02-3273-9991
233,서울특별시,연희점,서울특별시 서대문구 증가로 34(연희동),02-325-9090
234,서울특별시,보문점,서울시 성북구 보문로109,02-953-5749
235,서울특별시,정릉점,"서울시 성북구 보국문로 75,102",02-909-5150
236,서울특별시,청구점,"서울시 중구 동호로12길 88(신당동,1층)",02-2231-5460
237,서울특별시,서교점,서울시 마포구 성미산로17길 84,02-3143-6623
238,서울특별시,방학점,서울시 도봉구 방학로 200-20,02-955-9696
239,서울특별시,북가좌점,서울시 서대문구 북가좌동 347-27,02-309-3430
240,서울특별시,경희대점,서울시 동대문구 청량리 1동 55-34,02-964-9292
241,서울특별시,후암점,서울시 용산구 동자동 19-33,02-755-9595
242,서울특별시,염리점,서울시 마포구 숭문4길 5,02-713-3340
243,서울특별시,도화점,서울시 마포구 도화1동 25-4,02-702-6692
244,서울특별시,이태원점,서울시 용산구 이태원동 225-60,02-797-7689
245,서울특별시,응봉점,서울시 성동구 응봉동 193-118 1층,02-2293-3600
246,서울특별시,응암점,서울시 은평구 응암동 239-18,02-354-2646
247,서울특별시,역촌점,서울시 은평구 역촌동 34-1,02-384-8008
248,서울특별시,우이점,서울시 강북구 우이동 72-65,02-902-1870
249,서울특별시,수유점,서울시 강북구 수유동 310-1,02-997-1745
250,서울특별시,번동점,서울시 강북구 번동 148-42 1층 101호,02-994-3232
251,서울특별시,창동점,서울시 도봉구 창동 596-1 대우APT 상가 144,02-995-6481
252,서울특별시,쌍문점,서울시 도봉구 시루봉로2길 66 1층 102호,02-900-3301
253,서울특별시,도봉2점,서울시 도봉구 도봉동 635-13,02-955-5655
254,서울특별시,녹천점,서울시 도봉구 창동 38-1 주공17단지상가 101,02-995-4236
255,서울특별시,월계미성점,서울시 노원구 월계동 17 미성상가 103,02-975-8892
256,서울특별시,중계주공점,서울시 노원구 중계동 369-7 중계주공 2단지상가 106,02-952-9034
